"line","frequency","Term"
"2350",234,"accommod"
"2351",153,"accompani"
"2352",174,"accomplish"
"2353",1147,"accord"
"2354",66,"accordingli"
"2355",1182,"account"
"2356",24,"account"
"2361",50,"accredit"
"2362",41,"accumul"
"2365",44,"accuraci"
"2366",23,"accuracywi"
"2368",302,"accu"
"2369",50,"accusat"
"2370",36,"accusatori"
"2371",53,"accus"
"2373",54,"ac"
"2374",32,"aceng"
"2376",20,"ach"
"2378",599,"achiev"
"2380",48,"achiev"
"2381",196,"acid"
"2383",216,"acknowledg"
"2386",22,"acmp"
"2387",42,"acn"
"2388",20,"acne"
"2390",50,"acoust"
"2391",52,"acoust"
"2394",22,"acquaint"
"2396",124,"acquir"
"2398",88,"acquisit"
"2400",131,"acr"
"2401",131,"acr"
"2402",62,"acrl"
"2403",968,"across"
